21,00:00.0,2711
36,00:00.0,5649
39,00:00.0,8214
42,00:00.0,9776
44,00:00.0,10500
49,00:00.0,1871
55,00:00.0,2052
68,00:00.0,4320
85,00:00.0,1485
96,00:00.0,8683
97,00:00.0,10784
121,00:00.0,2074
132,00:00.0,289
158,00:00.0,12345
167,00:00.0,1347
181,00:00.0,7473
188,00:00.0,2889
189,00:00.0,10177
190,00:00.0,11115
206,00:00.0,8994
209,00:00.0,3627
212,00:00.0,3190
216,00:00.0,7282
223,00:00.0,9068
229,00:00.0,618
240,00:00.0,32
251,00:00.0,568
274,00:00.0,3365
277,00:00.0,3732
280,00:00.0,11836
295,00:00.0,1937
297,00:00.0,2281
307,00:00.0,8818
325,00:00.0,4759
327,00:00.0,12107
335,00:00.0,7710
336,00:00.0,5479
339,00:00.0,8326
344,00:00.0,2816
356,00:00.0,2209
358,00:00.0,2979
373,00:00.0,3630
376,00:00.0,1369
386,00:00.0,3568
390,00:00.0,5590
392,00:00.0,3238
400,00:00.0,5626
410,00:00.0,1288
414,00:00.0,11776
421,00:00.0,7839
445,00:00.0,3859
451,00:00.0,10104
455,00:00.0,6575
469,00:00.0,1731
471,00:00.0,10861
506,00:00.0,3509
525,00:00.0,10830
532,00:00.0,6498
543,00:00.0,7351
549,00:00.0,3834
561,00:00.0,6059
562,00:00.0,5017
568,00:00.0,11790
570,00:00.0,4622
571,00:00.0,5006
572,00:00.0,6691
583,00:00.0,4695
593,00:00.0,6667
632,00:00.0,529
635,00:00.0,1427
638,00:00.0,3626
658,00:00.0,12386
678,00:00.0,9667
689,00:00.0,8272
705,00:00.0,9639
707,00:00.0,5889
709,00:00.0,3161
712,00:00.0,4372
715,00:00.0,864
721,00:00.0,2154
723,00:00.0,371
724,00:00.0,797
733,00:00.0,2724
751,00:00.0,1438
762,00:00.0,1748
781,00:00.0,7971
788,00:00.0,5625
792,00:00.0,12218
810,00:00.0,2484
820,00:00.0,768
825,00:00.0,7429
828,00:00.0,2606
838,00:00.0,3469
846,00:00.0,5643
847,00:00.0,12163
850,00:00.0,7382
870,00:00.0,6516
892,00:00.0,9537
895,00:00.0,7575
899,00:00.0,7707
903,00:00.0,2199
913,00:00.0,6408
915,00:00.0,8495
916,00:00.0,48
957,00:00.0,9879
967,00:00.0,1706
970,00:00.0,7623
973,00:00.0,5118
989,00:00.0,370
1023,00:00.0,3817
1028,00:00.0,11150
1047,00:00.0,2775
1057,00:00.0,8378
1058,00:00.0,1981
1068,00:00.0,12178
1070,00:00.0,3888
1080,00:00.0,8212
1094,00:00.0,6443
1110,00:00.0,4786
1114,00:00.0,1228
1122,00:00.0,10235
1130,00:00.0,6983
1145,00:00.0,3381
1150,00:00.0,2826
1153,00:00.0,712
1170,00:00.0,593
1172,00:00.0,3137
1184,00:00.0,5580
1191,00:00.0,3254
1198,00:00.0,182
1211,00:00.0,10929
1212,00:00.0,4100
1218,00:00.0,4469
1228,00:00.0,10103
1232,00:00.0,11433
1234,00:00.0,7639
1235,00:00.0,11033
1252,00:00.0,10504
1257,00:00.0,2255
1259,00:00.0,2414
1260,00:00.0,9123
1308,00:00.0,11645
1310,00:00.0,5602
1317,00:00.0,5467
1325,00:00.0,10425
1328,00:00.0,2844
1334,00:00.0,4016
1339,00:00.0,2696
1343,00:00.0,8470
1349,00:00.0,11918
1352,00:00.0,4473
1355,00:00.0,11218
1363,00:00.0,12251
1366,00:00.0,1115
1368,00:00.0,1269
1372,00:00.0,5821
1384,00:00.0,10281
1388,00:00.0,12046
1393,00:00.0,3420
1399,00:00.0,9691
1404,00:00.0,8986
1406,00:00.0,2370
1411,00:00.0,1383
1413,00:00.0,10678
1414,00:00.0,9072
1417,00:00.0,5676
1420,00:00.0,7013
1421,00:00.0,5358
1425,00:00.0,9259
1426,00:00.0,4200
1433,00:00.0,174
1437,00:00.0,9507
1443,00:00.0,9490
1447,00:00.0,10324
1448,00:00.0,1454
1457,00:00.0,9657
1460,00:00.0,1089
