921,00:00.0,12,PENDING_PAYMENT
20537,00:00.0,12,PENDING_PAYMENT
24642,00:00.0,12,PAYMENT_REVIEW
36246,00:00.0,12,PENDING_PAYMENT
44131,00:00.0,12,PROCESSING
45831,00:00.0,12,PENDING_PAYMENT
58919,00:00.0,12,ON_HOLD
59731,00:00.0,12,CLOSED
2109,00:00.0,13,COMPLETE
10524,00:00.0,13,ON_HOLD
22725,00:00.0,13,COMPLETE
27702,00:00.0,13,PROCESSING
36217,00:00.0,13,COMPLETE
63963,00:00.0,13,ON_HOLD
9453,00:00.0,14,COMPLETE
20622,00:00.0,14,COMPLETE
21077,00:00.0,14,CLOSED
26976,00:00.0,14,COMPLETE
37854,00:00.0,14,COMPLETE
39208,00:00.0,14,ON_HOLD
58343,00:00.0,14,PROCESSING
63552,00:00.0,14,PENDING
66343,00:00.0,14,PENDING_PAYMENT
3742,00:00.0,18,COMPLETE
6912,00:00.0,18,CLOSED
19709,00:00.0,18,CANCELED
24295,00:00.0,18,COMPLETE
27740,00:00.0,18,COMPLETE
27805,00:00.0,18,COMPLETE
49411,00:00.0,18,COMPLETE
53932,00:00.0,18,PENDING_PAYMENT
2299,00:00.0,25,COMPLETE
9151,00:00.0,25,COMPLETE
32587,00:00.0,25,PENDING_PAYMENT
33227,00:00.0,25,PENDING_PAYMENT
1896,00:00.0,37,CLOSED
9545,00:00.0,37,COMPLETE
65103,00:00.0,37,CLOSED
8626,00:00.0,38,PROCESSING
27562,00:00.0,38,CLOSED
27812,00:00.0,38,CLOSED
30415,00:00.0,38,PROCESSING
31591,00:00.0,38,CLOSED
54410,00:00.0,38,PROCESSING
10983,00:00.0,46,COMPLETE
40169,00:00.0,46,ON_HOLD
42236,00:00.0,46,PROCESSING
46066,00:00.0,46,PROCESSING
53062,00:00.0,46,COMPLETE
5794,00:00.0,50,COMPLETE
11814,00:00.0,50,COMPLETE
24948,00:00.0,50,PROCESSING
41244,00:00.0,50,PENDING
60054,00:00.0,50,COMPLETE
6440,00:00.0,52,PENDING
12413,00:00.0,52,PENDING_PAYMENT
15463,00:00.0,52,COMPLETE
38973,00:00.0,52,PAYMENT_REVIEW
67794,00:00.0,52,PENDING
26671,00:00.0,56,ON_HOLD
31257,00:00.0,56,ON_HOLD
36060,00:00.0,56,PENDING_PAYMENT
43262,00:00.0,56,PENDING_PAYMENT
54232,00:00.0,56,PENDING_PAYMENT
66386,00:00.0,56,COMPLETE
16078,00:00.0,65,PENDING_PAYMENT
30704,00:00.0,65,PENDING
33962,00:00.0,65,COMPLETE
41971,00:00.0,65,PROCESSING
63659,00:00.0,65,PROCESSING
63847,00:00.0,65,PENDING_PAYMENT
17335,00:00.0,67,PENDING_PAYMENT
25722,00:00.0,67,PENDING_PAYMENT
61841,00:00.0,67,PENDING_PAYMENT
718,00:00.0,70,COMPLETE
6729,00:00.0,70,PENDING
10450,00:00.0,70,PENDING
24457,00:00.0,70,ON_HOLD
30680,00:00.0,70,COMPLETE
61036,00:00.0,70,COMPLETE
68051,00:00.0,70,PENDING
10193,00:00.0,73,COMPLETE
19009,00:00.0,73,PROCESSING
21166,00:00.0,73,PENDING_PAYMENT
26461,00:00.0,73,PENDING
29240,00:00.0,73,COMPLETE
49356,00:00.0,73,COMPLETE
21634,00:00.0,83,PENDING_PAYMENT
33290,00:00.0,83,SUSPECTED_FRAUD
33630,00:00.0,83,SUSPECTED_FRAUD
33817,00:00.0,83,PENDING_PAYMENT
51532,00:00.0,83,PENDING_PAYMENT
5056,00:00.0,93,ON_HOLD
6247,00:00.0,93,COMPLETE
15611,00:00.0,93,CLOSED
26826,00:00.0,93,PENDING_PAYMENT
28353,00:00.0,93,CLOSED
30426,00:00.0,93,PENDING_PAYMENT
42610,00:00.0,93,PENDING_PAYMENT
48572,00:00.0,93,PROCESSING
3478,00:00.0,95,COMPLETE
6120,00:00.0,95,COMPLETE
27928,00:00.0,95,COMPLETE
30028,00:00.0,95,COMPLETE
37558,00:00.0,95,PENDING
38250,00:00.0,95,CLOSED
46537,00:00.0,95,PENDING_PAYMENT
56537,00:00.0,95,PENDING_PAYMENT
8978,00:00.0,97,PENDING
38006,00:00.0,97,COMPLETE
46605,00:00.0,97,COMPLETE
47469,00:00.0,97,COMPLETE
60217,00:00.0,97,CLOSED
24208,00:00.0,101,COMPLETE
33831,00:00.0,101,PROCESSING
36362,00:00.0,101,CANCELED
39068,00:00.0,101,PENDING
52180,00:00.0,101,COMPLETE
2143,00:00.0,107,COMPLETE
8242,00:00.0,107,PROCESSING
9166,00:00.0,107,COMPLETE
30358,00:00.0,107,PENDING_PAYMENT
40289,00:00.0,107,PROCESSING
52141,00:00.0,107,PENDING
52341,00:00.0,107,PENDING_PAYMENT
1415,00:00.0,109,SUSPECTED_FRAUD
1753,00:00.0,109,COMPLETE
5191,00:00.0,109,COMPLETE
27697,00:00.0,109,COMPLETE
32418,00:00.0,109,PENDING_PAYMENT
56016,00:00.0,109,CLOSED
56736,00:00.0,109,PENDING_PAYMENT
8904,00:00.0,110,PENDING
9367,00:00.0,110,PROCESSING
25101,00:00.0,110,PENDING
30188,00:00.0,110,COMPLETE
53273,00:00.0,110,ON_HOLD
43156,00:00.0,115,PENDING_PAYMENT
60712,00:00.0,115,COMPLETE
11215,00:00.0,126,COMPLETE
39345,00:00.0,126,COMPLETE
48305,00:00.0,126,COMPLETE
52409,00:00.0,126,CLOSED
53728,00:00.0,126,PENDING_PAYMENT
61563,00:00.0,126,PENDING
55883,00:00.0,130,COMPLETE
